genes,lfc_liu2020,qval_liu2020
AT5G22940,1.6998871,3.34E-09
AT4G22010,1.696322467,2.16E-15
AT1G20720,1.695199869,0.000533284
AT3G43960,1.69477591,1.69E-05
AT4G23140,1.681485819,0.019919667
AT2G21200,1.665451544,0.008473729
AT5G44670,1.661948029,8.24E-14
AT5G46280,1.650844125,1.09E-12
AT3G51410,1.650029926,0.015137856
AT3G62570,1.648002472,5.50E-21
AT2G39130,1.645668186,3.31E-48
AT3G06070,1.643526417,2.05E-27
AT3G49670,1.643471278,2.07E-15
AT2G14247,1.631022661,0.036711829
AT2G41940,1.626665794,1.54E-21
AT4G39330,1.620854558,1.13E-21
AT4G02330,1.619315676,6.56E-15
AT5G07590,1.601625485,3.75E-11
AT5G03960,1.598421121,0.004009162
AT5G52882,1.597562191,7.90E-61
AT1G26540,1.597458404,1.00E-05
AT3G26550,1.589150391,0.033895755
AT1G70985,1.577167552,0.001029984
AT1G56720,1.574235836,3.98E-18
AT1G60060,1.569978004,1.45E-05
AT5G08020,1.569533844,9.07E-05
AT5G03120,1.567636349,0.000124721
AT3G61950,1.567572574,0.003198661
AT4G31070,1.565960286,0.000647731
AT5G25190,1.564937183,8.08E-21
AT4G37800,1.564888334,4.39E-07
AT3G23805,1.554870304,4.83E-11
AT4G38390,1.55019114,0.011118503
AT1G61170,1.546658223,2.60E-12
AT1G64250,1.543810607,0.001788885
AT2G44230,1.541369367,0.002868081
AT3G58100,1.540570188,2.41E-07
AT3G10840,1.54022765,7.39E-08
AT3G49220,1.53862348,3.92E-20
AT4G26540,1.538544413,3.98E-05
AT5G25620,1.533677408,0.008168422
AT5G54610,1.531090697,0.002649968
AT4G17340,1.530043298,1.30E-17
AT5G66800,1.523774025,0.046029916
AT3G07990,1.523088942,4.92E-14
AT3G44990,1.51901407,1.06E-06
AT2G07690,1.517606314,2.82E-16
AT1G49640,1.506441387,0.000206495
AT3G01440,1.50469493,0.009133818
AT3G46940,1.50186652,0.002684783
AT5G13870,1.497648978,9.74E-19
AT2G21220,1.494067817,0.009048261
AT2G19590,1.492218221,0.00081034
AT3G29639,1.492156586,0.021172125
AT1G03870,1.487025154,5.41E-42
AT5G41140,1.486578196,1.15E-19
AT4G29310,1.48544321,7.85E-12
AT3G17840,1.484066525,1.16E-09
AT1G19340,1.482361598,0.001738598
AT5G12250,1.481272328,4.21E-43
AT1G49200,1.474729888,1.81E-09
AT4G00360,1.472235731,2.07E-15
AT3G52940,1.470559745,7.96E-20
AT2G37560,1.468300325,0.00965212
AT3G50560,1.457169904,3.98E-17
AT5G57700,1.457031546,6.13E-16
AT3G27060,1.450698154,1.10E-17
AT5G10760,1.446786384,0.003549589
AT1G67630,1.445242846,2.83E-06
AT1G33240,1.443754954,5.45E-16
AT5G67450,1.442524588,2.54E-05
AT4G27720,1.440172046,1.79E-21
AT1G35180,1.439246276,7.81E-06
AT5G16030,1.435361627,2.21E-24
AT5G35740,1.4316741,0.000153478
AT4G11900,1.429328308,7.06E-10
AT5G51810,1.427464663,1.27E-06
AT5G16590,1.420163397,8.21E-23
AT5G65610,1.418518806,5.55E-17
AT4G02130,1.416897562,1.01E-24
AT5G23860,1.414043901,9.01E-41
AT3G03130,1.413144672,0.049597922
AT5G15780,1.41235166,3.99E-13
AT4G08685,1.411291439,2.59E-23
AT2G21910,1.408427559,0.000285704
AT2G35150,1.408292416,0.026495649
AT3G12710,1.404417886,4.52E-19
AT2G42320,1.40408858,6.26E-28
AT1G65800,1.400526866,2.59E-10
AT1G47400,1.399986751,0.001132523
AT3G05900,1.399840959,1.31E-12
AT4G13710,1.398941734,5.63E-05
AT4G30020,1.397075238,2.16E-16
AT2G32680,1.396423992,0.003744054
AT1G25510,1.395414142,0.006593358
AT4G00165,1.395213689,0.018666957
AT5G41460,1.393167554,0.009643235
AT5G52950,1.389100096,0.000311965
AT4G28310,1.388134956,0.004083166
AT2G25510,1.387507279,2.36E-08
AT1G68520,1.386192021,1.56E-26
AT1G01680,1.385014436,2.42E-05
AT1G18400,1.383257852,2.21E-07
AT5G38430,1.381773897,3.57E-15
AT2G01120,1.374692699,4.26E-06
AT4G03070,1.366736169,0.028180167
AT4G32460,1.36127911,4.05E-13
AT5G54260,1.352793012,6.89E-12
AT5G66310,1.350854789,1.58E-16
AT1G55330,1.350152652,5.45E-06
AT1G18840,1.348020001,4.18E-23
AT4G35160,1.345255418,0.008934568
AT1G64670,1.338627766,2.06E-11
AT4G16563,1.33603929,2.34E-13
AT5G04190,1.335128997,1.69E-17
AT4G00950,1.334573598,1.33E-18
AT5G56795,1.332340238,0.012209421
AT2G24970,1.330067501,0.047033279
AT1G10850,1.330041305,2.87E-14
AT4G08100,1.32833666,6.55E-07
AT1G68780,1.32815062,4.43E-05
AT5G37000,1.327775932,5.72E-05
AT3G16700,1.325834303,1.90E-05
AT4G33220,1.321702145,7.14E-14
AT5G50915,1.320173873,6.09E-05
AT1G47395,1.319341151,6.12E-05
AT1G65010,1.316332154,5.16E-23
