genes,batchcorr,refgroup
AT5G37540,p,em24
AT5G37770,p,em24
AT5G37850,p,em24
AT5G38140,p,em24
AT5G38360,p,em24
AT5G39320,p,em24
AT5G40390,p,em24
AT5G40650,p,em24
AT5G41260,p,em24
AT5G41370,p,em24
AT5G41670,p,em24
AT5G41740,p,em24
AT5G42092,p,em24
AT5G42470,p,em24
AT5G43270,p,em24
AT5G43400,p,em24
AT5G43630,p,em24
AT5G43745,p,em24
AT5G44340,p,em24
AT5G44660,p,em24
AT5G45340,p,em24
AT5G45560,p,em24
AT5G46700,p,em24
AT5G47220,p,em24
AT5G47230,p,em24
AT5G48380,p,em24
AT5G49340,p,em24
AT5G49840,p,em24
AT5G50330,p,em24
AT5G51190,p,em24
AT5G51280,p,em24
AT5G51290,p,em24
AT5G53010,p,em24
AT5G53350,p,em24
AT5G53420,p,em24
AT5G53850,p,em24
AT5G54490,p,em24
AT5G55220,p,em24
AT5G55310,p,em24
AT5G56850,p,em24
AT5G57290,p,em24
AT5G57870,p,em24
AT5G57960,p,em24
AT5G58200,p,em24
AT5G58430,p,em24
AT5G58930,p,em24
AT5G58980,p,em24
AT5G59450,p,em24
AT5G59550,p,em24
AT5G59730,p,em24
AT5G59732,p,em24
AT5G59910,p,em24
AT5G59970,p,em24
AT5G60670,p,em24
AT5G61190,p,em24
AT5G61600,p,em24
AT5G62020,p,em24
AT5G62340,p,em24
AT5G62470,p,em24
AT5G62760,p,em24
AT5G63080,p,em24
AT5G63190,p,em24
AT5G63195,p,em24
AT5G64260,p,em24
AT5G64310,p,em24
AT5G64660,p,em24
AT5G65685,p,em24
AT5G65920,p,em24
AT5G66390,p,em24
AT5G66580,p,em24
AT5G66610,p,em24
AT5G67170,p,em24
AT5G67300,p,em24
AT5G67450,p,em24
AT5G67510,p,em24
ATCG00020,p,em24
ATCG00040,p,em24
ATCG00100,p,em24
ATCG00180,p,em24
ATCG00340,p,em24
ATCG00450,p,em24
ATCG00490,p,em24
ATCG00500,p,em24
ATCG00520,p,em24
ATCG00540,p,em24
ATCG00560,p,em24
ATCG00570,p,em24
ATCG00580,p,em24
ATCG00710,p,em24
ATCG01110,p,em24
ATCG01120,p,em24
ATMG00020,p,em24
ATMG00080,p,em24
ATMG01360,p,em24
AT1G01580,r,em6
AT1G12805,r,em6
AT1G47395,r,em6
AT1G47400,r,em6
AT1G48300,r,em6
AT1G52040,r,em6
AT1G52400,r,em6
AT2G30760,r,em6
AT2G30766,r,em6
AT2G30770,r,em6
AT2G33790,r,em6
AT2G40300,r,em6
AT2G47520,r,em6
AT3G16360,r,em6
AT3G49160,r,em6
AT3G56360,r,em6
AT4G15540,r,em6
AT4G16370,r,em6
AT4G19690,r,em6
AT4G33070,r,em6
AT4G33560,r,em6
AT5G01595,r,em6
AT5G01600,r,em6
AT5G04950,r,em6
AT5G05250,r,em6
AT5G20150,r,em6
AT5G21940,r,em6
AT5G53450,r,em6
ATCG00030,r,em6
ATCG00040,r,em6
ATCG00120,r,em6
ATCG00180,r,em6
ATCG00340,r,em6
ATCG00350,r,em6
ATCG00490,r,em6
AT1G70700,r,en2
AT1G80440,r,en2
AT2G20670,r,en2
AT2G25900,r,en2
AT2G44130,r,en2
AT3G18773,r,en2
AT3G26510,r,en2
AT3G46230,r,en2
AT3G50970,r,en2
AT3G59940,r,en2
AT4G10250,r,en2
AT4G27410,r,en2
AT4G32480,r,en2
AT5G12020,r,en2
AT5G19120,r,en2
AT5G21940,r,en2
AT5G52310,r,en2
AT5G56550,r,en2
AT1G10150,p,en2
AT1G13245,p,en2
AT1G19610,p,en2
AT1G19670,p,en2
AT1G27020,p,en2
AT1G27695,p,en2
