genes,lFC_nguyen2017,Padj_nguyen2017
AT3G14060,0.794,3.8E-03
AT3G14230,0.800,3.6E-03
AT3G14610,0.800,1.3E-03
AT3G14620,2.297,2.7E-05
AT3G14660,1.434,7.3E-04
AT3G14680,0.942,5.5E-03
AT3G14690,0.812,2.6E-03
AT3G14700,1.679,2.7E-05
AT3G14990,1.696,1.4E-04
AT3G15000,0.786,2.4E-04
AT3G15180,0.944,1.4E-03
AT3G15352,0.985,2.7E-03
AT3G15357,0.703,4.4E-03
AT3G16650,0.749,1.5E-03
AT3G16860,1.007,6.0E-04
AT3G17110,1.503,6.9E-04
AT3G17611,0.984,2.2E-04
AT3G18610,1.909,3.7E-04
AT3G19000,0.862,1.2E-04
AT3G19010,0.791,4.6E-04
AT3G19150,1.318,3.1E-04
AT3G19440,0.732,1.6E-03
AT3G19580,1.999,8.8E-05
AT3G20395,1.058,1.9E-03
AT3G20660,0.878,7.0E-04
AT3G21010,0.822,1.9E-03
AT3G21250,1.086,1.7E-03
AT3G21260,0.998,1.1E-03
AT3G21560,0.883,1.4E-03
AT3G21720,1.360,4.8E-02
AT3G21750,0.774,4.6E-04
AT3G21780,1.690,9.3E-05
AT3G21890,1.341,4.6E-04
AT3G22060,1.221,4.9E-03
AT3G22100,0.947,8.3E-03
AT3G22160,1.139,2.0E-04
AT3G22231,1.366,9.3E-03
AT3G22310,1.025,2.9E-04
AT3G22370,4.217,3.2E-05
AT3G22550,1.196,3.1E-04
AT3G22600,1.058,1.5E-04
AT3G22620,0.944,5.6E-04
AT3G22800,1.084,1.9E-04
AT3G22840,1.475,6.1E-04
AT3G22930,0.883,1.0E-02
AT3G22980,0.777,1.6E-04
AT3G23560,1.464,2.3E-04
AT3G23580,0.737,3.7E-04
AT3G23930,0.884,6.7E-03
AT3G23990,1.030,2.6E-04
AT3G24170,0.738,7.2E-04
AT3G24500,0.798,5.7E-03
AT3G24780,1.715,1.4E-05
AT3G25190,2.041,1.5E-04
AT3G25250,3.092,3.3E-05
AT3G25597,0.823,6.5E-04
AT3G25610,1.019,1.5E-03
AT3G25655,1.907,8.0E-05
AT3G25795,1.224,9.7E-03
AT3G25882,1.121,4.5E-03
AT3G26210,1.606,3.4E-04
AT3G26600,0.775,1.4E-03
AT3G26690,1.020,2.8E-04
AT3G26812,0.759,1.4E-02
AT3G26813,0.768,1.7E-03
AT3G26816,0.863,3.6E-03
AT3G26819,0.756,2.9E-02
AT3G27150,1.567,1.4E-04
AT3G27200,1.012,2.9E-03
AT3G27220,2.249,7.8E-04
AT3G27270,0.707,1.1E-03
AT3G27570,1.006,2.6E-03
AT3G27880,0.985,2.7E-04
AT3G28160,0.750,1.3E-03
AT3G28291,0.716,4.4E-02
AT3G28345,1.625,1.2E-04
AT3G28510,0.742,3.9E-02
AT3G28560,1.316,2.2E-04
AT3G28570,1.677,2.0E-04
AT3G28580,1.914,9.2E-05
AT3G28740,4.238,2.5E-05
AT3G29035,0.869,6.2E-03
AT3G29250,0.795,4.1E-03
AT3G29590,1.562,3.0E-03
AT3G29670,1.560,4.8E-05
AT3G29970,2.773,2.4E-04
AT3G30775,1.314,4.7E-04
AT3G43190,1.274,1.8E-03
AT3G43580,1.032,3.5E-03
AT3G43800,0.767,1.6E-03
AT3G44190,0.716,1.5E-02
AT3G44300,1.656,2.2E-03
AT3G44310,0.733,8.9E-04
AT3G44550,0.800,5.4E-04
AT3G45140,0.936,3.8E-03
AT3G45710,0.778,9.5E-03
AT3G45730,3.979,2.6E-05
AT3G46230,0.871,4.5E-02
AT3G46280,1.313,4.2E-04
AT3G46660,1.350,1.0E-03
AT3G47200,1.139,1.2E-03
AT3G47210,0.728,2.7E-02
AT3G47730,0.760,7.9E-03
AT3G47780,0.868,3.3E-04
AT3G48020,0.729,4.6E-03
AT3G48250,0.880,2.9E-03
AT3G48450,0.847,3.1E-04
AT3G48580,0.791,7.6E-03
AT3G48690,1.338,1.4E-04
AT3G48700,1.893,1.4E-03
AT3G48830,0.859,6.0E-03
AT3G48850,1.582,2.8E-03
AT3G48920,1.301,6.6E-04
AT3G49160,0.796,8.6E-04
AT3G49570,2.727,3.5E-05
AT3G49580,3.717,3.2E-05
AT3G49950,1.030,5.7E-04
AT3G50260,1.275,1.4E-04
AT3G50410,0.924,1.0E-03
AT3G50440,0.975,5.5E-04
AT3G50480,1.112,6.2E-03
AT3G50910,1.172,2.6E-05
AT3G50930,1.168,9.5E-04
AT3G50940,0.893,5.2E-03
AT3G50970,1.313,1.6E-03
AT3G51240,1.673,1.5E-04
AT3G51430,0.988,9.0E-05
AT3G51890,1.119,5.4E-04
AT3G52180,0.825,3.4E-03
AT3G52800,0.970,1.8E-04
AT3G53230,2.197,1.5E-04
AT3G53480,1.315,7.7E-04
AT3G53510,0.801,1.4E-02
AT3G53690,0.930,2.9E-03
AT3G53970,0.774,2.6E-04
AT3G54140,0.970,2.1E-04
AT3G54150,1.323,5.0E-04
AT3G54520,2.809,6.9E-05
AT3G55090,1.593,8.9E-05
AT3G55120,1.032,3.2E-03
AT3G55440,1.357,3.8E-05
AT3G55620,1.083,2.1E-04
AT3G55880,0.711,3.4E-03
AT3G56200,1.329,8.7E-05
AT3G56620,0.837,3.2E-02
AT3G56710,1.509,5.3E-04
AT3G57090,1.128,1.7E-04
